1	1274	0.407978
1	155	0.307606
1	537	0.269706
1	259	0.251546
1	635	0.236539
1	632	0.200372
1	789	0.197015
1	47	0.190803
1	52	0.190467
1	41	0.189488
1	613	0.176886
1	545	0.176000
1	1313	0.161162
1	1090	0.157588
1	588	0.151606
1	139	0.147390
1	26	0.145496
1	195	0.144301
1	1273	0.142863
1	616	0.140618
1	1301	0.138773
1	1345	0.138228
1	105	0.136844
1	876	0.135952
1	805	0.135946
1	456	0.135812
1	757	0.134104
1	618	0.133429
1	1277	0.132847
1	1087	0.131756
1	729	0.131188
1	76	0.130371
1	1428	0.128182
1	735	0.128050
1	878	0.127864
1	85	0.126457
1	290	0.126275
1	89	0.125964
1	440	0.125863
1	313	0.125778
1	1010	0.121397
1	1340	0.120876
1	35	0.120725
1	1278	0.120592
1	1030	0.120455
1	1210	0.119478
1	503	0.118323
1	135	0.116953
1	598	0.116832
1	1418	0.116446
1	377	0.116234
1	522	0.115585
1	151	0.115507
1	113	0.114262
1	1158	0.114165
1	1140	0.113782
1	576	0.113433
1	439	0.112732
1	39	0.112420
1	664	0.112092
1	1302	0.111702
1	371	0.111653
1	202	0.110938
1	1304	0.110895
1	1061	0.110876
1	390	0.110826
1	1344	0.110301
1	1109	0.109885
1	448	0.109872
1	676	0.109441
1	246	0.109191
1	1142	0.109156
1	604	0.108546
1	1404	0.108243
1	783	0.107531
1	1312	0.107265
1	646	0.106934
1	136	0.106569
1	1080	0.106214
1	767	0.105916
1	471	0.105728
1	543	0.105666
1	1460	0.105300
1	649	0.104230
1	88	0.104179
1	1173	0.103592
1	821	0.103319
1	819	0.103300
1	544	0.102595
1	725	0.102277
1	606	0.102277
1	1405	0.102269
1	1231	0.102242
1	807	0.102159
1	1300	0.101592
1	640	0.101420
1	573	0.101366
1	599	0.101338
1	1095	0.101199
1	1369	0.100728
2	459	0.188006
2	1070	0.182520
2	630	0.170326
2	1179	0.161700
2	461	0.160079
2	1448	0.138507
2	110	0.137438
2	1381	0.135525
2	184	0.125618
2	114	0.113022
2	501	0.112459
2	320	0.111586
2	796	0.109740
2	784	0.108540
2	471	0.107887
2	48	0.102553
2	133	0.101613
2	254	0.099768
2	314	0.099510
2	554	0.097511
2	247	0.096448
2	1431	0.095552
2	175	0.095309
2	135	0.095149
2	136	0.093608
2	268	0.092472
2	265	0.091801
2	98	0.091073
2	538	0.089912
2	259	0.089649
2	1078	0.088284
2	458	0.088264
2	761	0.087681
2	1136	0.087571
2	1240	0.086546
2	664	0.086479
2	413	0.085856
2	30	0.084080
2	17	0.083681
2	575	0.083677
2	138	0.083624
2	1403	0.083066
2	1373	0.082978
2	14	0.082064
2	454	0.081527
2	1454	0.080785
2	1158	0.080637
2	1293	0.080439
2	76	0.080370
2	606	0.079529
2	539	0.079439
2	131	0.078944
2	640	0.078651
2	958	0.078265
2	212	0.078129
2	1417	0.078077
2	123	0.077784
2	69	0.077587
2	460	0.076905
2	611	0.076753
2	525	0.076360
2	442	0.076270
2	441	0.076269
2	149	0.075693
2	1053	0.075475
2	656	0.074713
2	334	0.074523
2	851	0.072592
2	140	0.072544
2	1349	0.072523
2	1298	0.071862
2	798	0.071812
2	462	0.071653
2	619	0.071460
2	964	0.071413
2	176	0.071280
2	65	0.071064
2	736	0.070942
2	774	0.070781
2	234	0.070677
2	1440	0.070677
2	534	0.070438
2	644	0.070385
2	768	0.069485
2	73	0.069123
